brand_name,generic_name,dosage,category,color,shape
tanakan,ginkgo biloba extract,40mg,tuần hoàn não,green,round
calcium corbiere,calcium d3,10ml,bổ sung canxi,white,ampoule
upsa c,vitamin c,1000mg,vitamin,orange,effervescent
magne-b6,magnesium b6,tab,khoáng chất,white,oblong
refresh tears,artificial tears,15ml,nhỏ mắt,clear,liquid
paracetamol,acetaminophen,500mg,giảm đau hạ sốt,white,oblong
efferalgan,paracetamol,500mg,giảm đau hạ sốt,white,effervescent
hapacol,paracetamol,500mg,giảm đau hạ sốt,white,oblong
tylenol,paracetamol,500mg,giảm đau hạ sốt,red and white,capsule
ibuprofen,ibuprofen,400mg,giảm đau kháng viêm,orange,round
amoxicillin,amoxicillin,500mg,kháng sinh,yellow and red,capsule
augmentin,amoxicillin clavulanate,1g,kháng sinh,white,oblong
zinnat,cefuroxime,500mg,kháng sinh,white,oblong
cefixime,cefixime,200mg,kháng sinh,white,capsule
azithromycin,azithromycin,500mg,kháng sinh,white,oblong
clarithromycin,clarithromycin,500mg,kháng sinh,yellow,oblong
ciprofloxacin,ciprofloxacin,500mg,kháng sinh,white,oblong
levofloxacin,levofloxacin,500mg,kháng sinh,white and orange,oblong
metronidazole,metronidazole,250mg,kháng sinh,white,round
doxycycline,doxycycline,100mg,kháng sinh,white and orange,capsule
cephalexin,cephalexin,500mg,kháng sinh,white and green,capsule
lincomycin,lincomycin,500mg,kháng sinh,white,capsule
erythromycin,erythromycin,500mg,kháng sinh,white,round
amlodipine,amlodipine,5mg,huyết áp,white,round
losartan,losartan,50mg,huyết áp,white,oval
lisinopril,lisinopril,10mg,huyết áp,white,round
enalapril,enalapril,10mg,huyết áp,white,round
perindopril,perindopril,5mg,huyết áp,white,round
coversyl,perindopril,5mg,huyết áp,white,round
coveram,perindopril amlodipine,5/5mg,huyết áp,white,oblong
valsartan,valsartan,80mg,huyết áp,gray,oval
irbesartan,irbesartan,150mg,huyết áp,white,oval
telmisartan,telmisartan,40mg,huyết áp,white,oblong
micardis,telmisartan,40mg,huyết áp,white and fawn,oblong
exforge,amlodipine valsartan,5/160mg,huyết áp,yellow,oval
captopril,captopril,25mg,huyết áp,white,round
nifedipine,nifedipine,20mg,huyết áp,brown,capsule
atorvastatin,atorvastatin,20mg,mỡ máu,white,oval
lipitor,atorvastatin,20mg,mỡ máu,white,oval
rosuvastatin,rosuvastatin,10mg,mỡ máu,pink,round
crestor,rosuvastatin,10mg,mỡ máu,pink,round
simvastatin,simvastatin,20mg,mỡ máu,white,oval
fenofibrate,fenofibrate,160mg,mỡ máu,orange,oblong
lipanthyl,fenofibrate,160mg,mỡ máu,orange,oblong
metformin,metformin,850mg,tiểu đường,white,oblong
glucophage,metformin,850mg,tiểu đường,white,oblong
glimepiride,glimepiride,2mg,tiểu đường,pink,round
amaryl,glimepiride,2mg,tiểu đường,pink,round
