image_id,gold_count,ocr_hits,ocr_coverage,ner_tp,ner_fp,ner_precision,ner_recall,lookup_tp,lookup_recall,confirmed_count
VAIPE_P_TRAIN_0,3,3,1.0,3,0,1.0,1.0,3,1.0,0
VAIPE_P_TRAIN_1,3,3,1.0,2,0,1.0,0.6667,2,0.6667,0
VAIPE_P_TRAIN_10,1,1,1.0,1,0,1.0,1.0,1,1.0,0
VAIPE_P_TRAIN_100,3,3,1.0,1,0,1.0,0.3333,1,0.3333,0
VAIPE_P_TRAIN_1000,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1001,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1002,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1003,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1004,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1005,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1006,2,2,1.0,2,1,0.6667,1.0,2,1.0,0
VAIPE_P_TRAIN_1007,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1008,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1009,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_101,3,3,1.0,1,0,1.0,0.3333,1,0.3333,0
VAIPE_P_TRAIN_1010,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1011,4,4,1.0,3,0,1.0,0.75,3,0.75,0
VAIPE_P_TRAIN_1012,5,5,1.0,2,0,1.0,0.4,2,0.4,0
VAIPE_P_TRAIN_1013,3,3,1.0,3,0,1.0,1.0,3,1.0,0
VAIPE_P_TRAIN_1014,1,1,1.0,1,0,1.0,1.0,1,1.0,0
VAIPE_P_TRAIN_1015,1,1,1.0,1,0,1.0,1.0,1,1.0,0
VAIPE_P_TRAIN_1016,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1017,3,3,1.0,3,0,1.0,1.0,3,1.0,1
VAIPE_P_TRAIN_1018,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1019,2,2,1.0,1,0,1.0,0.5,1,0.5,0
VAIPE_P_TRAIN_102,3,3,1.0,1,0,1.0,0.3333,1,0.3333,0
VAIPE_P_TRAIN_1020,2,2,1.0,1,0,1.0,0.5,1,0.5,0
VAIPE_P_TRAIN_1021,2,2,1.0,2,0,1.0,1.0,2,1.0,0
VAIPE_P_TRAIN_1022,3,3,1.0,1,0,1.0,0.3333,1,0.3333,0
VAIPE_P_TRAIN_1023,3,3,1.0,3,0,1.0,1.0,3,1.0,0
